,Hardware,Name,Price,SKU,Info,Image,Description,Power,PCIE Slot
12,CPU,Core i9-10900K Comet Lake 3.7GHz Ten-Core LGA 1200 Boxed Processor,539.99,105023,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/622892_105023_01_front_thumbnail.jpg,"10th Gen Intel Core i9-10900K unlocked desktop processor. Featuring Intel Turbo Boost Max Technology 3.0, unlocked 10th Gen Intel Core desktop processors are optimized for enthusiast gamers and serious creators and help deliver high performance overclocking for an added boost. Thermal solution NOT included in the box. ONLY compatible with 400 series chipset based motherboard.",125,N/A
13,CPU,Core i9-10900K Comet Lake 3.7GHz Ten-Core LGA 1200 Boxed Processor,539.99,105023,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/622892_105023_01_front_thumbnail.jpg,"10th Gen Intel Core i9-10900K unlocked desktop processor. Featuring Intel Turbo Boost Max Technology 3.0, unlocked 10th Gen Intel Core desktop processors are optimized for enthusiast gamers and serious creators and help deliver high performance overclocking for an added boost. Thermal solution NOT included in the box. ONLY compatible with 400 series chipset based motherboard.",125,N/A
14,CPU,Core i3-9100F Coffee Lake 3.6GHz Quad-Core LGA 1151 Boxed Processor,69.99,961276,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/606587_961276_01_front_thumbnail.jpg,9th Gen Intel Core i3-9100F desktop processor without processor graphics. Features Intel Turbo Boost Technology 2.0 and offers mainstream performance for exceptional overall productivity. Thermal solution included in the box. ONLY compatible with Intel 300 Series chipset based motherboards. 65W.,65,N/A
15,CPU,Core i3-9100F Coffee Lake 3.6GHz Quad-Core LGA 1151 Boxed Processor,69.99,961276,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/606587_961276_01_front_thumbnail.jpg,9th Gen Intel Core i3-9100F desktop processor without processor graphics. Features Intel Turbo Boost Technology 2.0 and offers mainstream performance for exceptional overall productivity. Thermal solution included in the box. ONLY compatible with Intel 300 Series chipset based motherboards. 65W.,65,N/A
16,CPU,Core i3-10100 Comet Lake 3.6GHz Quad-Core LGA 1200 Boxed Processor,99.99,104984,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/622905_104984_01_front_thumbnail.jpg,10th Gen Intel Core i3-10100 desktop processor optimized for everyday computing. Thermal solution NOT included in the box. ONLY compatible with 400 series chipset based motherboard.,65,N/A
17,CPU,Core i3-10100 Comet Lake 3.6GHz Quad-Core LGA 1200 Boxed Processor,99.99,104984,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/622905_104984_01_front_thumbnail.jpg,10th Gen Intel Core i3-10100 desktop processor optimized for everyday computing. Thermal solution NOT included in the box. ONLY compatible with 400 series chipset based motherboard.,65,N/A
18,CPU,Core i5-9400 Coffee Lake 2.9GHz Six-Core LGA 1151 Boxed Processor,139.99,907964,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/602029_907964_01_front_thumbnail.jpg,9th Gen Intel Core i5-9400 desktop processor with Intel UHD 630 graphics. Features Intes Turbo Boost Technology 2.0 and offers powerful performance for mainstream gaming and creating. Thermal solution included in the box. ONLY compatible with 300 series chipset based motherboard.,65,N/A
19,CPU,Core i5-9400 Coffee Lake 2.9GHz Six-Core LGA 1151 Boxed Processor,139.99,907964,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/602029_907964_01_front_thumbnail.jpg,9th Gen Intel Core i5-9400 desktop processor with Intel UHD 630 graphics. Features Intes Turbo Boost Technology 2.0 and offers powerful performance for mainstream gaming and creating. Thermal solution included in the box. ONLY compatible with 300 series chipset based motherboard.,65,N/A
20,CPU,Core i7-10700 Comet Lake 2.9GHz Eight-Core LGA 1200 Boxed Processor,299.99,108613,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623439_108613_01_front_thumbnail.jpg,10th Gen Intel Core i7-10700 desktop processor. Features Intel Turbo Boost Max Technology 3.0. Built for the everyday desktop user; this processor delivers amazing performance for everything from enthusiast gaming and creation to productivity. ONLY compatible with 400 series chipset based motherboard.,65,N/A
21,CPU,Core i7-10700 Comet Lake 2.9GHz Eight-Core LGA 1200 Boxed Processor,299.99,108613,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623439_108613_01_front_thumbnail.jpg,10th Gen Intel Core i7-10700 desktop processor. Features Intel Turbo Boost Max Technology 3.0. Built for the everyday desktop user; this processor delivers amazing performance for everything from enthusiast gaming and creation to productivity. ONLY compatible with 400 series chipset based motherboard.,65,N/A
